epoch,mean,median,std,min,max,count,q10,q90,sem,n_rep_mean,n_rep_median,n_rep_min,n_rep_max
1100,0.0001793443413507021,0.00017958576574187823,2.0285079265635813e-06,0.00017393829736331735,0.0001833673085107038,50,0.00017669310926478207,0.0001815557138518608,2.868743421127543e-07,20.0,20.0,20,20
1200,0.00018055066377491817,0.00018072459017836554,1.5679259554600226e-06,0.00017658160103559652,0.00018393490700476545,50,0.00017842975717999605,0.00018236791117165986,2.2173821510083573e-07,20.0,20.0,20,20
1300,0.0001815896944803036,0.00018171528475439144,1.3384698091013232e-06,0.00017766394374116187,0.00018426771549616232,50,0.0001799428677604586,0.0001830640923304,1.8928821568580187e-07,20.0,20.0,20,20
1400,0.00018251551832674295,0.0001827366634754532,1.349553150252528e-06,0.000178263471816739,0.0001849111231456782,50,0.00018078801937001154,0.00018410163096709806,1.9085563682304606e-07,20.0,20.0,20,20
1500,0.00018316823516890498,0.00018338389103874343,1.5146679125404015e-06,0.0001787831091786093,0.00018633935873259275,50,0.00018145944963741655,0.00018474599860247612,2.1420639044059808e-07,20.0,20.0,20,20
1600,0.00018353688824559973,0.00018370764315117237,1.59288384197292e-06,0.00017930897010628487,0.00018731598047428018,50,0.00018179799230724672,0.00018513992984789653,2.2526779326030653e-07,20.0,20.0,20,20
1700,0.00018376060190482802,0.00018392597675737855,1.5892440386683995e-06,0.0001796138336888642,0.00018758717379141506,50,0.0001816236392396666,0.00018531030667384325,2.2475304734054418e-07,20.0,20.0,20,20
1800,0.0001839274969820197,0.00018413436210671752,1.5678109852425955e-06,0.00018004281305508246,0.0001876456922738431,50,0.00018217687733021232,0.00018541908924227357,2.2172195585676027e-07,20.0,20.0,20,20
1900,0.00018407344958863182,0.00018433529376594838,1.5424090769344564e-06,0.00018036750703635479,0.00018761782918239492,50,0.00018237326147837177,0.0001855135388027627,2.1812958353280747e-07,20.0,20.0,20,20
2000,0.00018285386611455737,0.00018270722307208397,1.3187989634883112e-06,0.00018012788708362832,0.00018571840061133962,50,0.00018143834403448682,0.00018473902528759725,1.86506338020875e-07,24.0,24.0,24,24
2100,0.00018291105309543182,0.00018273493206758727,1.3491492644869168e-06,0.0001801694689117963,0.00018568712506483772,50,0.00018142989188589534,0.00018484973263378958,1.9079851875030836e-07,24.0,24.0,24,24
2200,0.0001830198527453086,0.00018287105848571706,1.346400428179768e-06,0.00018018961071137162,0.00018561224800793804,50,0.00018146531666387013,0.00018500738936299603,1.90409774591677e-07,24.0,24.0,24,24
2300,0.0001831215004697217,0.00018302892600476875,1.3282357093680996e-06,0.00018021472910956086,0.00018566839478720951,50,0.00018160110793005393,0.00018503113744875455,1.878408954216615e-07,24.0,24.0,24,24
2400,0.00018319973061877698,0.00018308436030719301,1.3047696712814104e-06,0.00018025942971418394,0.00018572343568268375,50,0.0001816737159645761,0.00018507693950774672,1.8452229648992556e-07,24.0,24.0,24,24
2500,0.0001832630062973106,0.0001831084232736368,1.2880851890764995e-06,0.00018035976270342822,0.00018596050409063288,50,0.00018180200501488668,0.0001850426412130314,1.821627543883898e-07,24.0,24.0,24,24
2600,0.0001833253424746007,0.0001831658104169505,1.2786378276954376e-06,0.0001806195671614078,0.00018629491655801174,50,0.00018195211164625188,0.00018509667923869108,1.8082669572901605e-07,24.0,24.0,24,24
2700,0.00018338895331487928,0.00018321673899315006,1.3107243117466727e-06,0.00018024999014378606,0.00018683797803977027,50,0.00018201400593375287,0.00018524594339836668,1.853644098204285e-07,24.0,24.0,24,24
2800,0.00018345505127252367,0.00018326097055031785,1.4255959669307062e-06,0.000179905087363372,0.00018762194050786623,50,0.00018205635967320362,0.00018523490053649175,2.016097150897791e-07,24.0,24.0,24,24
2900,0.00018350058802323293,0.0001833268355204749,1.5391817846076996e-06,0.00017964543170080843,0.00018856208011863536,50,0.0001819843540739979,0.00018518416084060325,2.1767317547498325e-07,24.0,24.0,24,24
3000,0.00018375987382416686,0.00018377969233421846,1.3334646606449874e-06,0.00018040382052614983,0.00018738804507354562,50,0.00018215944464313412,0.00018502291814761568,1.8858038080293778e-07,28.0,28.0,28,28
