path,filename,kind,interface_layers,boundary_layers,reset,trial,file_size_bytes
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL7.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL7.json,reduced,1,1,True,7,31398388
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL8.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL8.json,reduced,1,1,True,8,31395107
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL9.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-RESET-TRIAL9.json,reduced,1,1,True,9,31424309
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL1.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL1.json,reduced,1,1,False,1,31437730
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL10.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL10.json,reduced,1,1,False,10,31445606
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL2.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL2.json,reduced,1,1,False,2,31439811
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL3.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL3.json,reduced,1,1,False,3,31436855
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL4.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL4.json,reduced,1,1,False,4,31440660
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL5.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL5.json,reduced,1,1,False,5,31442355
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL6.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL6.json,reduced,1,1,False,6,31441270
